"key","en","cs"
"StaticItemNames.hoeNames[185]","Croptender","Pečovatel úrody"
"StaticItemNames.hoeNames[186]","Grain Slayer","Vrah obilí"
"StaticItemNames.hoeNames[187]","Soil Mauler","Mlátil půdy"
"StaticItemNames.hoeNames[188]","Root Tiller","Kořenový oráč"
"StaticItemNames.hoeNames[189]","Tilltender","Pečovatel orby"
"StaticItemNames.hoeNames[190]","Seedherald","Posel semen"
"StaticItemNames.hoeNames[191]","Harvest Herald","Posel sklizně"
"StaticItemNames.hoeNames[192]","Plowmarshal","Maršál pluhu"
"StaticItemNames.hoeNames[193]","Cropsong","Píseň úrody"
"StaticItemNames.hoeNames[194]","Grain Tiller","Oráč obilí"
"StaticItemNames.hoeNames[195]","Furrowreaper","Žnec brázd"
"StaticItemNames.hoeNames[196]","Soiltiller","Půdní oráč"
"StaticItemNames.hoeNames[197]","Root Keeper","Strážce kořenů"
"StaticItemNames.hoeNames[198]","Tillherald","Posel orby"
"StaticItemNames.hoeNames[199]","Fieldtender","Pečovatel pole"
"StaticItemNames.hoeNames[200]","Seedtiller","Semenný oráč"
"StaticItemNames.hoeNames[201]","Harvest Tiller","Oráč sklizně"
"StaticItemNames.hoeNames[202]","Cropherald","Posel úrody"
"StaticItemNames.hoeNames[203]","Grain Tender","Pečovatel obilí"
"StaticItemNames.hoeNames[204]","Fieldherald","Posel pole"
"StaticItemNames.hoeNames[205]","Soil Herald","Posel půdy"
"StaticItemNames.hoeNames[206]","Tillweaver","Tkalec orby"
"StaticItemNames.hoeNames[207]","Furrowtender","Pečovatel brázd"
"StaticItemNames.hoeNames[208]","Harvest Weaver","Tkalec sklizně"
"StaticItemNames.hoeNames[209]","Plowherald","Posel pluhu"
"StaticItemNames.hoeNames[210]","Cropweaver","Tkalec úrody"
"StaticItemNames.hoeNames[211]","Grain Weaver","Tkalec obilí"
"StaticItemNames.hoeNames[212]","Fieldweaver","Tkalec pole"
"StaticItemNames.hoeNames[213]","Soilweaver","Tkalec půdy"
"StaticItemNames.hoeNames[214]","Root Weaver","Tkalec kořenů"
"StaticItemNames.hoeNames[215]","Harvest Tender","Pečovatel sklizně"
"StaticItemNames.hoeNames[216]","Cropdrinker","Pijan úrody"
"StaticItemNames.hoeNames[217]","Furrowherald","Posel brázdy"
"StaticItemNames.hoeNames[218]","Soilherald","Posel půdy"
"StaticItemNames.hoeNames[219]","Rootherald","Posel kořenů"
"StaticItemNames.hoeNames[220]","Seeddrinker","Pijan semen"
"StaticItemNames.hoeNames[221]","Harvest Drinker","Pijan sklizně"
"StaticItemNames.hoeNames[222]","Plowweaver","Tkalec pluhu"
"StaticItemNames.hoeNames[223]","Cropforger","Kovář úrody"
"StaticItemNames.hoeNames[224]","Grain Forger","Kovář obilí"
"StaticItemNames.hoeNames[225]","Furrowweaver","Tkalec brázd"
"StaticItemNames.hoeNames[226]","Soilforger","Kovář půdy"
"StaticItemNames.hoeNames[227]","Rootforger","Kovář kořenů"
"StaticItemNames.hoeNames[228]","Tillforger","Kovář orby"
"StaticItemNames.hoeNames[229]","Fieldforger","Kovář pole"
"StaticItemNames.hoeNames[230]","Seedforger","Kovář semen"
"StaticItemNames.hoeNames[231]","Harvest Forger","Kovář sklizně"
"StaticItemNames.hoeNames[232]","Plowtender","Pečovatel pluhu"
"StaticItemNames.hoeNames[233]","Croptiller","Oráč úrody"
"StaticItemNames.hoeNames[234]","Furrowforger","Kovář brázd"
"StaticItemNames.hoeNames[235]","Soildrinker","Pijan půdy"
"StaticItemNames.hoeNames[236]","Rootdrinker","Pijan kořenů"
"StaticItemNames.hoeNames[237]","Hoe of the Harvest","Kosa sklizně"
"StaticItemNames.hoeNames[238]","Barley Blade","Jehmenná čepel"
"StaticItemNames.hoeNames[239]","Wheat Warden","Strážce pšenice"
"StaticItemNames.hoeNames[240]","Thatch Render","Došový rozrážeč"
"StaticItemNames.hoeNames[241]","Scythe Song","Píseň srpy"
"StaticItemNames.hoeNames[242]","Oat Keeper","Strážce ovsa"
"StaticItemNames.hoeNames[243]","Rye Render","Žitný rozrážeč"
"StaticItemNames.hoeNames[244]","Millet Maw","Prosa hltan"
"StaticItemNames.hoeNames[245]","Corn Cutter","Řezač kukuřice"
"StaticItemNames.hoeNames[246]","Husk Herald","Posel slámy"
"StaticItemNames.hoeNames[247]","Chaff Claw","Dráp plev"
"StaticItemNames.hoeNames[248]","Sheaf Slicer","Řezač snopů"
"StaticItemNames.hoeNames[249]","Stalk Splitter","Štěpač stébel"
"StaticItemNames.hoeNames[250]","Bran Blade","Otrubová čepel"
"StaticItemNames.hoeNames[251]","Kernel Keeper","Strážce zrn"
"StaticItemNames.hoeNames[252]","Sprout Slayer","Vrah výhonku"
"StaticItemNames.hoeNames[253]","Bloom Reaper","Žnec květů"
"StaticItemNames.hoeNames[254]","Petal Render","Rozrážeč okvětních lístků"
"StaticItemNames.hoeNames[255]","Vine Cleaver","Sekáč révy"
"StaticItemNames.hoeNames[256]","The Scarecrow","Strašák"
"StaticItemNames.hoeNames[257]","Thorn Tender","Pečovatel trnů"
"StaticItemNames.hoeNames[258]","Briar Blade","Trnová čepel"
"StaticItemNames.hoeNames[259]","Weed Warden","Strážce plevele"
"StaticItemNames.hoeNames[260]","Hoe of Plenty","Kosa hojnosti"
"StaticItemNames.hoeNames[261]","Bounty Blade","Čepel štědrosti"
"StaticItemNames.hoeNames[262]","Autumn Edge","Podzimní ostří"
"StaticItemNames.hoeNames[263]","Spring Tender","Jarní pečovatel"
"StaticItemNames.hoeNames[264]","Summer Reap","Letní žnec"
"StaticItemNames.hoeNames[265]","Famine Ender","Ukončovatel hladu"
"StaticItemNames.hoeNames[266]","Grove Guardian","Strážce háje"
"StaticItemNames.hoeNames[267]","Orchard Edge","Ostrý okraj sadu"
"StaticItemNames.hoeNames[268]","Meadow Maw","Louční hltan"
"StaticItemNames.hoeNames[269]","Pasture Render","Rozrazovač pastviny"
"StaticItemNames.hoeNames[270]","Garden Herald","Posel zahrady"
"StaticItemNames.hoeNames[271]","Prairie Fang","Prérijní tesák"
"StaticItemNames.hoeNames[272]","Fallow Fury","Zuřivost úhoru"
"StaticItemNames.hoeNames[273]","Verdant Vow","Zelený slib"
"StaticItemNames.hoeNames[274]","Green Grasp","Zelený úchop"
"StaticItemNames.hoeNames[275]","Emerald Hoe","Smaragdová kosa"
"StaticItemNames.hoeNames[276]","Jade Tiller","Jadeitový oráč"
"StaticItemNames.hoeNames[277]","Moss Render","Mechový rozrážeč"
"StaticItemNames.hoeNames[278]","Plow of the Ages","Pluh věků"
"StaticItemNames.hoeNames[279]","Fertile Fang","Úrodný tesák"
"StaticItemNames.hoeNames[280]","Abundance","Hojnost"
"StaticItemNames.hoeNames[281]","Demeter's Touch","Deméterův dotek"
"StaticItemNames.hoeNames[282]","Ceres Blade","Čepel Ceres"
"StaticItemNames.hoeNames[283]","Earthmother's Gift","Dar Matky Země"
"StaticItemNames.hoeNames[284]","Druid's Hoe","Druidova kosa"
"StaticItemNames.hoeNames[285]","Nature's Grasp","Úchop přírody"
"StaticItemNames.hoeNames[286]","The Greenkeeper","Strážce zeleně"
"StaticItemNames.hoeNames[287]","Willow Hoe","Vrbinová kosa"
"StaticItemNames.hoeNames[288]","Oak Tender","Pečovatel dubu"
"StaticItemNames.hoeNames[289]","Birch Blade","Březová čepel"
"StaticItemNames.hoeNames[290]","Maple Render","Javorový rozrážeč"
"StaticItemNames.hoeNames[291]","Ash Tiller","Jasanový oráč"
"StaticItemNames.hoeNames[292]","Elm Edge","Jilmové ostří"
"StaticItemNames.hoeNames[293]","Harvest of Sorrow","Sklizeň smutku"
"StaticItemNames.hoeNames[294]","Reaping Wind","Sklizňový vítr"
"StaticItemNames.hoeNames[295]","Golden Grain","Zlaté obilí"
"StaticItemNames.hoeNames[296]","Silver Seed","Stříbrné semeno"
"StaticItemNames.hoeNames[297]","Bronze Till","Bronzový oráč"
"StaticItemNames.hoeNames[298]","Copper Crop","Měděná úroda"
"StaticItemNames.hoeNames[299]","Iron Furrow","Železná brázda"
"StaticItemNames.hoeNames[300]","Steel Sprout","Ocelový výhonek"
"StaticItemNames.hoeNames[301]","Obsidian Hoe","Obsidiánová kosa"
"StaticItemNames.hoeNames[302]","Moonlit Hoe","Měsíční kosa"
"StaticItemNames.hoeNames[303]","Sunlit Tiller","Sluneční oráč"
"StaticItemNames.hoeNames[304]","Starlit Seed","Hvězdná semena"
"StaticItemNames.hoeNames[305]","Dawn Reaper","Žnec úsvitu"
"StaticItemNames.hoeNames[306]","Dusk Sower","Sazeč soumraku"
"StaticItemNames.hoeNames[307]","Twilight Tiller","Oráč soumraku"
"StaticItemNames.hoeNames[308]","Midnight Mow","Půlnoční sečení"
"StaticItemNames.hoeNames[309]","Noon Harvest","Polední sklizeň"
"StaticItemNames.hoeNames[310]","Eclipse Hoe","Kosa zatmění"
"StaticItemNames.hoeNames[311]","Solstice Reap","Žnec slunovratu"
"StaticItemNames.hoeNames[312]","Equinox Edge","Rovnodenní ostří"
"StaticItemNames.hoeNames[313]","Frost Hoe","Mrazivá kosa"
"StaticItemNames.hoeNames[314]","Flame Tiller","Ohnivý oráč"
"StaticItemNames.hoeNames[315]","Storm Reap","Žnec bouře"
"StaticItemNames.hoeNames[316]","Gale Harvest","Větrná sklizeň"
"StaticItemNames.hoeNames[317]","Tempest Tiller","Bouřný oráč"
"StaticItemNames.hoeNames[318]","Thunder Hoe","Hromová kosa"
"StaticItemNames.hoeNames[319]","Lightning Reap","Bleskový žnec"
"StaticItemNames.hoeNames[320]","Rain Render","Déšťový rozrážeč"
"StaticItemNames.hoeNames[321]","Hail Harvest","Kroupová sklizeň"
"StaticItemNames.hoeNames[322]","Snow Sow","Sněžný sázeč"
"StaticItemNames.hoeNames[323]","Drought Ender","Ukončovatel sucha"
"StaticItemNames.hoeNames[324]","Flood Tiller","Povodňový oráč"
"StaticItemNames.hoeNames[325]","River Hoe","Říční kosa"
"StaticItemNames.hoeNames[326]","Lake Tender","Strážce studny"
"StaticItemNames.hoeNames[327]","Pond Render","Pečovatel jezera"
"StaticItemNames.hoeNames[328]","Creek Cutter","Rybniční rozrážeč"
"StaticItemNames.hoeNames[329]","Brook Blade","Potokový sekáč"
"StaticItemNames.hoeNames[330]","Spring Water Hoe","Potůčková čepel"
"StaticItemNames.hoeNames[331]","Well Warden","Kosa pramenné vody"
"StaticItemNames.hoeNames[332]","Fountain Fury","Strážce kašny"
"StaticItemNames.hoeNames[333]","Canal Cutter","Kašnový hněv"
"StaticItemNames.hoeNames[334]","Terrace Tiller","Kanálový sekáč"
"StaticItemNames.hoeNames[335]","Ridge Render","Terasový oráč"
"StaticItemNames.hoeNames[336]","Valley Vow","Hřebenový rozrážeč"
"StaticItemNames.hoeNames[337]","Hill Harvest","Údolní slib"
"StaticItemNames.hoeNames[338]","Mountain Mow","Sklizeň na kopcích"
"StaticItemNames.hoeNames[339]","Plateau Plow","Horská seč"
"StaticItemNames.hoeNames[340]","Mesa Hoe","Plošný pluh"
"StaticItemNames.hoeNames[341]","Desert Bloom","Mesová kosa"
"StaticItemNames.hoeNames[342]","Oasis Hoe","Pouštní květ"
"StaticItemNames.hoeNames[343]","Jungle Hoe","Oázová kosa"
"StaticItemNames.hoeNames[344]","Forest Tiller","Džunglová kosa"
"StaticItemNames.hoeNames[345]","Savanna Sow","Lesní oráč"
"StaticItemNames.hoeNames[346]","Tundra Tiller","Savannový sázeč"
"StaticItemNames.hoeNames[347]","Taiga Hoe","Tundrový oráč"
"StaticItemNames.hoeNames[348]","Steppe Sow","Tajga kosa"
"StaticItemNames.hoeNames[349]","Fen Hoe","Steppový sázeč"
"StaticItemNames.hoeNames[350]","Marsh Mow","Močalová kosa"
"StaticItemNames.hoeNames[351]","Swamp Sow","Bažinaté sečení"
"StaticItemNames.hoeNames[352]","Delta Hoe","Bažinový sázeč"
"StaticItemNames.hoeNames[353]","Estuary Edge","Deltová kosa"
"StaticItemNames.hoeNames[354]","Hoe of the Wild","Okraj ústí"
"StaticItemNames.hoeNames[355]","Untamed Tiller","Kosa divočiny"
"StaticItemNames.hoeNames[356]","Savage Sow","Nespoutaný oráč"
"StaticItemNames.hoeNames[357]","Primal Plow","Divoký sázeč"
"StaticItemNames.hoeNames[358]","Ancient Harvest","Prvotní pluh"
"StaticItemNames.hoeNames[359]","Forgotten Furrow","Starobylá sklizeň"
"StaticItemNames.hoeNames[360]","Lost Sow","Zapomenutá brázda"
"StaticItemNames.hoeNames[361]","Ruined Reap","Ztracený sázeč"
"StaticItemNames.hoeNames[362]","Broken Bloom","Zničený žnec"
"StaticItemNames.hoeNames[363]","Shattered Seed","Rozbitý květ"
"StaticItemNames.hoeNames[364]","Mended Mow","Rozlámané semeno"
"StaticItemNames.hoeNames[365]","Restored Reap","Opravené sečení"
"StaticItemNames.hoeNames[366]","Reborn Hoe","Obnovený žnec"
"StaticItemNames.hoeNames[367]","Eternal Harvest","Znovuzrozená kosa"
"StaticItemNames.hoeNames[368]","Infinite Furrow","Věčná sklizeň"
"StaticItemNames.hoeNames[369]","Boundless Bloom","Nekonečná brázda"
"StaticItemNames.hoeNames[370]","Timeless Tiller","Bezbřehý květ"
"StaticItemNames.hoeNames[371]","Ageless Hoe","Nadčasový oráč"
"StaticItemNames.hoeNames[372]","Immortal Reap","Bezvěký nástroj"
"StaticItemNames.hoeNames[373]","Divine Furrow","Nesmrtelný žnec"
"StaticItemNames.hoeNames[374]","Sacred Sow","Božská brázda"
"StaticItemNames.hoeNames[375]","Holy Harvest","Posvátný sázeč"
"StaticItemNames.hoeNames[376]","Blessed Bloom","Svatá sklizeň"
"StaticItemNames.hoeNames[377]","Cursed Crop","Požehnaný květ"
"StaticItemNames.hoeNames[378]","Wicked Weed","Prokletá úroda"
"StaticItemNames.hoeNames[379]","Vile Vine","Zlá plevel"
"StaticItemNames.hoeNames[380]","Dark Harvest","Ošklivá réva"
"StaticItemNames.hoeNames[381]","Shadow Sow","Temná sklizeň"
"StaticItemNames.hoeNames[382]","Grim Grain","Stínový sázeč"
"StaticItemNames.hoeNames[383]","Death's Hoe","Ponuré zrno"
"StaticItemNames.hoeNames[384]","Blight Blade","Kosa smrti"
"StaticItemNames.hoeNames[385]","Withered Hoe","Čepel nákazy"
"StaticItemNames.hoeNames[386]","Rotting Reap","Uschlá kosa"
"StaticItemNames.hoeNames[387]","Decayed Furrow","Hnilobný žnec"
"StaticItemNames.hoeNames[388]","Necrotic Hoe","Zchátralá brázda"
"StaticItemNames.hoeNames[389]","Spectral Sow","Nekrotická kosa"
"StaticItemNames.hoeNames[390]","Ghost Grain","Přízračný sázeč"
"StaticItemNames.hoeNames[391]","Phantom Plow","Duchovní zrno"
"StaticItemNames.hoeNames[392]","Wraith Reap","Přízračný pluh"
"StaticItemNames.hoeNames[393]","Spirit Sprout","Žnec přízraku"
"StaticItemNames.hoeNames[394]","Soul Sow","Duchovní výhonek"
"StaticItemNames.hoeNames[395]","Ethereal Harvest","Sázeč duší"
"StaticItemNames.hoeNames[396]","Astral Hoe","Éterická sklizeň"
"StaticItemNames.hoeNames[397]","Celestial Crop","Astrální kosa"
"StaticItemNames.hoeNames[398]","Cosmic Furrow","Nebeská úroda"
"StaticItemNames.hoeNames[399]","Void Harvest","Kosmická brázda"
"StaticItemNames.hoeNames[400]","Null Hoe","Sklizeň prázdnoty"
"StaticItemNames.hoeNames[401]","Chaos Crop","Nulová kosa"
"StaticItemNames.hoeNames[402]","Order Hoe","Chaotická úroda"
"StaticItemNames.hoeNames[403]","Harmony Harvest","Řádová kosa"
"StaticItemNames.hoeNames[404]","Discord Hoe","Harmonická sklizeň"
"StaticItemNames.hoeNames[405]","Serenity Sow","Nesouladná kosa"
"StaticItemNames.hoeNames[406]","Tranquil Tiller","Sázeč klidu"
"StaticItemNames.hoeNames[407]","Peaceful Plow","Klidný oráč"
"StaticItemNames.hoeNames[408]","Warborn Hoe","Mírumilovný pluh"
"StaticItemNames.hoeNames[409]","Battle Harvest","Válečná kosa"
"StaticItemNames.hoeNames[410]","Conquest Crop","Bitevní sklizeň"
"StaticItemNames.hoeNames[411]","Victory Vine","Úroda dobytí"
"StaticItemNames.hoeNames[412]","Crimson Hoe","Vítězná réva"
"StaticItemNames.hoeNames[413]","Azure Tiller","Karmínová kosa"
"StaticItemNames.hoeNames[414]","Gilded Reap","Azurový oráč"
"StaticItemNames.hoeNames[415]","Obsidian Plow","Pozlacený žnec"
"StaticItemNames.hoeNames[416]","Emerald Sow","Obsidiánový pluh"
"StaticItemNames.hoeNames[417]","Ruby Hoe","Smaragdový sázeč"
"StaticItemNames.hoeNames[418]","Sapphire Tiller","Rubínová kosa"
"StaticItemNames.hoeNames[419]","Diamond Reap","Safírový oráč"
"StaticItemNames.hoeNames[420]","Amethyst Hoe","Diamantový žnec"
"StaticItemNames.hoeNames[421]","Topaz Tiller","Ametystová kosa"
"StaticItemNames.hoeNames[422]","Pearl Hoe","Topazový oráč"
"StaticItemNames.hoeNames[423]","Onyx Sow","Perlová kosa"
"StaticItemNames.hoeNames[424]","Garnet Reap","Onyxový sázeč"
"StaticItemNames.hoeNames[425]","Amber Hoe","Granátový žnec"
"StaticItemNames.hoeNames[426]","Coral Tiller","Jantarová kosa"
"StaticItemNames.hoeNames[427]","Ivory Reap","Korálový oráč"
"StaticItemNames.hoeNames[428]","Ebony Sow","Slonovinový žnec"
"StaticItemNames.hoeNames[429]","Quartz Hoe","Ebónový sázeč"
"StaticItemNames.hoeNames[430]","The Harvester","Křemenná kosa"
"StaticItemNames.hoeNames[431]","The Gleaner","Žnec"
"StaticItemNames.hoeNames[432]","The Winnower","Sběrač"
"StaticItemNames.hoeNames[433]","The Cropmaster","Třídící kosa"
"StaticItemNames.hoeNames[434]","The Sower","Strážce úrody"
"StaticItemNames.hoeNames[435]","The Plowman","Sázeč"
"StaticItemNames.hoeNames[436]","The Fieldhand","Oráč"
"StaticItemNames.hoeNames[437]","The Husbandman","Polní dělník"
"StaticItemNames.hoeNames[438]","The Granger","Rolník"
"StaticItemNames.hoeNames[439]","The Yeoman","Pastýř"
"StaticItemNames.hoeNames[440]","Hoe of the Ancients","Sedlák"
"StaticItemNames.hoeNames[441]","Hoe of the Druid","Kosa dávných"
"StaticItemNames.hoeNames[442]","Hoe of the Sun","Kosa druida"
"StaticItemNames.hoeNames[443]","Hoe of the Void","Kosa slunce"
"StaticItemNames.hoeNames[444]","Scythe of Dusk","Kosa prázdnoty"
"StaticItemNames.hoeNames[445]","Scythe of Destiny","Kosáč soumraku"
"StaticItemNames.hoeNames[446]","Sickle of the Moon","Kosáč osudu"
"StaticItemNames.hoeNames[447]","Blade of the Field","Srp měsíce"
"StaticItemNames.hoeNames[448]","Blade of the Harvest","Čepel pole"
"StaticItemNames.hoeNames[449]","Blade of Seasons","Čepel sklizně"
"StaticItemNames.hoeNames[450]","Edge of Autumn","Čepel ročních období"
"StaticItemNames.hoeNames[451]","Edge of the Meadow","Ostří podzimu"
"StaticItemNames.hoeNames[452]","Tiller of the Storm","Ostří louky"
"StaticItemNames.hoeNames[453]","Till of the Titans","Oráč bouře"
"StaticItemNames.hoeNames[454]","Till of the Deep","Orba titánů"
"StaticItemNames.hoeNames[455]","Hoe of the Forgotten","Orba hlubin"
"StaticItemNames.hoeNames[456]","Hoe of the Damned","Kosa zapomenutých"
"StaticItemNames.hoeNames[457]","Hoe of the Cursed","Kosa zatracených"
"StaticItemNames.hoeNames[458]","Hoe of the Grove","Kosa prokletých"
"StaticItemNames.hoeNames[459]","Hoe of the Warden","Kosa háje"
"StaticItemNames.hoeNames[460]","Cropfang Hoe","Kosa strážce"
"StaticItemNames.hoeNames[461]","Cropbound Hoe","Úrodný tesák"
"StaticItemNames.hoeNames[462]","Cropsong Hoe","Úroda vázaná"
"StaticItemNames.hoeNames[463]","Cropherald Hoe","Píseň úrody"
"StaticItemNames.hoeNames[464]","Cropreaper Hoe","Smaragdová kosa"
"StaticItemNames.hoeNames[465]","Fieldcleave Hoe","Žnec úrody"
"StaticItemNames.hoeNames[466]","Fieldbound Hoe","Polecizel"
"StaticItemNames.hoeNames[467]","Fieldfang Hoe","Pevnost pole"
"StaticItemNames.hoeNames[468]","Fieldmaw Hoe","Pole tesák"
"StaticItemNames.hoeNames[469]","Fieldsong Hoe","Pole hltan"
"StaticItemNames.hoeNames[470]","Soilrender Hoe","Pole písně"
"StaticItemNames.hoeNames[471]","Soilstrike Hoe","Půdní rozrážeč"
"StaticItemNames.hoeNames[472]","Soilmaw Hoe","Půdní úder"
"StaticItemNames.hoeNames[473]","Soilbound Hoe","Půdní hltan"
"StaticItemNames.hoeNames[474]","Soilforge Hoe","Půdní pouto"
"StaticItemNames.hoeNames[475]","Grainfury Hoe","Půdní kovář"
"StaticItemNames.hoeNames[476]","Grainblade Hoe","Zrnivý hněv"
"StaticItemNames.hoeNames[477]","Grainkeeper Hoe","Zrnistá čepel"
"StaticItemNames.hoeNames[478]","Grainsong Hoe","Strážce zrna"
"StaticItemNames.hoeNames[479]","Grainforge Hoe","Píseň zrna"
"StaticItemNames.hoeNames[480]","Seedstrike Hoe","Kovář zrna"
"StaticItemNames.hoeNames[481]","Seedrender Hoe","Úder semene"
"StaticItemNames.hoeNames[482]","Seedcleave Hoe","Rozrážeč semen"
"StaticItemNames.hoeNames[483]","Seedfang Hoe","Sekání semen"
"StaticItemNames.hoeNames[484]","Seedmaw Hoe","Tesák semen"
"StaticItemNames.hoeNames[485]","Rootfury Hoe","Semenný hltan"
"StaticItemNames.hoeNames[486]","Rootrender Hoe","Kořenový hněv"
"StaticItemNames.hoeNames[487]","Rootcleave Hoe","Kořenový rozrážeč"
"StaticItemNames.hoeNames[488]","Rootmaw Hoe","Kořenový sekáč"
"StaticItemNames.hoeNames[489]","Rootstrike Hoe","Kořenový hltan"
"StaticItemNames.hoeNames[490]","Furrowfury Hoe","Kořenový úder"
"StaticItemNames.hoeNames[491]","Furrowrender Hoe","Brázdový hněv"
"StaticItemNames.hoeNames[492]","Furrowcleave Hoe","Brázdový rozrážeč"
"StaticItemNames.hoeNames[493]","Furrowmaw Hoe","Brázdový sekáč"
"StaticItemNames.hoeNames[494]","Furrowstrike Hoe","Brázdový hltan"
"StaticItemNames.hoeNames[495]","Tillfang Hoe","Brázdový úder"
"StaticItemNames.hoeNames[496]","Tillcleave Hoe","Orný tesák"
"StaticItemNames.hoeNames[497]","Tillstrike Hoe","Orný sekáč"
"StaticItemNames.hoeNames[498]","Tillmaw Hoe","Orný úder"
"StaticItemNames.hoeNames[499]","Tillrender Hoe","Orný hltan"
"StaticItemNames.leggingsNames[0]","Greaves of the Titan","Orný rozrážeč"
"StaticItemNames.leggingsNames[1]","Ironstriders","Nohavice titána"
"StaticItemNames.leggingsNames[2]","Pathwalkers","Železní kročeje"
"StaticItemNames.leggingsNames[3]","The Pillars","Cestní kročeje"
"StaticItemNames.leggingsNames[4]","Warlegs","Sloupy"
"StaticItemNames.leggingsNames[5]","Voidgreaves","Válečné nohavice"
"StaticItemNames.leggingsNames[6]","Duskstriders","Nohavice prázdnoty"
"StaticItemNames.leggingsNames[7]","The Foundation","Soumrakové kročeje"
"StaticItemNames.leggingsNames[8]","Greaves of Fury","Základ"
"StaticItemNames.leggingsNames[9]","Starfall Greaves","Nohavice zuřivosti"
"StaticItemNames.leggingsNames[10]","Thornlegs","Nohavice padlých hvězd"
"StaticItemNames.leggingsNames[11]","Whisperstriders","Trnové nohy"
"StaticItemNames.leggingsNames[12]","The Stance","Šeptající kročeje"
"StaticItemNames.leggingsNames[13]","Greaves of Ruin","Postoj"
"StaticItemNames.leggingsNames[14]","Nightstriders","Nohavice zkázy"
"StaticItemNames.leggingsNames[15]","Skullgreaves","Noční kročeje"
"StaticItemNames.leggingsNames[16]","The Columns","Sloupy"
"StaticItemNames.leggingsNames[17]","Greaves of Embers","Náholenice žhavých uhlíků"
"StaticItemNames.leggingsNames[18]","Ironlegs","Železné nohavice"
"StaticItemNames.leggingsNames[19]","Dreadstriders","Děsivé nohavice"
"StaticItemNames.leggingsNames[20]","The Roots","Kořeny"
"StaticItemNames.leggingsNames[21]","Greaves of the Fallen","Náholenice padlého"
"StaticItemNames.leggingsNames[22]","Shadowstriders","Stínokráčeči"
"StaticItemNames.leggingsNames[23]","Flameward Greaves","Ohnivé holenice"
"StaticItemNames.leggingsNames[24]","The Ironpillars","Železné pilíře"
"StaticItemNames.leggingsNames[25]","Stormstriders","Bouřní kráčeči"
"StaticItemNames.leggingsNames[26]","Wargreaves","Válečné náholenice"
"StaticItemNames.leggingsNames[27]","Greaves of Twilight","Náholenice soumraku"
"StaticItemNames.leggingsNames[28]","The Harbinger Greaves","Náholenice předzvěsti"
"StaticItemNames.leggingsNames[29]","Froststriders","Mrazochodci"
"StaticItemNames.leggingsNames[30]","Greaves of Eternity","Náholenice věčnosti"
"StaticItemNames.leggingsNames[31]","Crimson Greaves","Šarlatové holenice"
"StaticItemNames.leggingsNames[32]","The Marchers","Pochodující"
"StaticItemNames.leggingsNames[33]","Moonstriders","Měsíční kráčeči"
"StaticItemNames.leggingsNames[34]","Dawnguard Greaves","Úsvitové strážní holenice"
"StaticItemNames.leggingsNames[35]","Legguards of Ruin","Chrániče nohou zkázy"
"StaticItemNames.leggingsNames[36]","The Tyrant Greaves","Náholenice tyrana"
"StaticItemNames.leggingsNames[37]","Ashstriders","Popelové nohavice"
"StaticItemNames.leggingsNames[38]","Greaves of the Hollow","Náholenice Prázdného"
"StaticItemNames.leggingsNames[39]","Sightstriders","Zrakokráčeči"
"StaticItemNames.leggingsNames[40]","The Warden Greaves","Náholenice strážce"
"StaticItemNames.leggingsNames[41]","Voidstriders","Prázdnotní kráčeči"
"StaticItemNames.leggingsNames[42]","Greaves of Thorns","Náholenice trnů"
"StaticItemNames.leggingsNames[43]","Irongreaves","Železné náholenice"
"StaticItemNames.leggingsNames[44]","The Leviathan Greaves","Náholenice leviatana"
"StaticItemNames.leggingsNames[45]","Greaves of Wrath","Náholenice hněvu"
"StaticItemNames.leggingsNames[46]","Dusklegs","Soumračné nohy"
"StaticItemNames.leggingsNames[47]","Flamelegs","Plamenné nohy"
"StaticItemNames.leggingsNames[48]","The Revenant Greaves","Náholenice revenanta"
"StaticItemNames.leggingsNames[49]","Stormlegs","Bouřní nohavice"
"StaticItemNames.leggingsNames[50]","Greaves of the Abyss","Náholenice propasti"
"StaticItemNames.leggingsNames[51]","Nightlegs","Noční nohavice"
"StaticItemNames.leggingsNames[52]","The Sentinel Greaves","Náholenice sentinela"
"StaticItemNames.leggingsNames[53]","Greaves of Dawn","Náholenice úsvitu"
"StaticItemNames.leggingsNames[54]","Warstriders","Váleční kráčeči"
"StaticItemNames.leggingsNames[55]","Shadowlegs","Stínové nohavice"
"StaticItemNames.leggingsNames[56]","The Monolith Greaves","Náholenice monolitu"
"StaticItemNames.leggingsNames[57]","Greaves of Iron","Náholenice železa"
"StaticItemNames.leggingsNames[58]","Frostguard Greaves","Mrazivé strážní holenice"
"StaticItemNames.leggingsNames[59]","The Phantom Greaves","Náholenice přízraku"
"StaticItemNames.leggingsNames[60]","Bloodstriders","Krvavé chodci"
"StaticItemNames.leggingsNames[61]","Greaves of the Warden","Náholenice strážce"
"StaticItemNames.leggingsNames[62]","Thunderstriders","Hromokráčeči"
"StaticItemNames.leggingsNames[63]","The Titan Greaves","Náholenice titána"
"StaticItemNames.leggingsNames[64]","Ashlegs","Popelové nohy"
"StaticItemNames.leggingsNames[65]","Greaves of Valor","Náholenice udatnosti"
"StaticItemNames.leggingsNames[66]","Dreadlegs","Děsivé nohy"
"StaticItemNames.leggingsNames[67]","The Colossus Greaves","Náholenice kolosa"
